reviewId,content,score,thumbsUpCount,reviewCreatedVersion,at,replyContent,repliedAt,appVersion,unique_id,appId
2c426700-e8f8-44e4-8fed-ee530373c8ab,"I like the app because it helps me to restore my photos and improve it's quality however fix your app it's getting into my nerves!!! it says there that no connection but god my connection is stable i don't know if it is my connection or your app that have the problem one more thing is the ""Before-After"" before saving the photo god why do you change it's color it's so annoying!!!! FIX YOUR APP!!!!!!",1,5,3.7.46.202160002,2022-11-29 12:21:34,,,3.7.46.202160002,pho878027,com.bigwinepot.nwdn.international
acf43782-aaee-4d73-bfca-75e7eea4e67a,Very easy to use. Lots of effects to apply very convenient as well. Good job to develoer.,5,1,1.393.114,2022-02-11 21:04:30,,,1.393.114,pho447657,photo.editor.photoeditor.photoeditorpro
87427c76-0a8b-40a0-a06c-31f5c2e1e73a,it's a very slow process app and west the time,1,0,,2023-11-21 10:39:53,,,,pho910070,com.bigwinepot.nwdn.international
e9bedad0-6584-426c-b364-813862449590,A great app an interesting,5,1,,2023-08-22 08:45:42,,,,pho824354,com.energysh.quickarte
ffb2006d-2b38-471a-9fee-13af3b9b56be,"""connection error please try again."" it's getting annoying please fix this. the old version is better.",1,1,1.6.5,2022-08-28 11:12:58,,,1.6.5,pho895607,com.bigwinepot.nwdn.international
5b841f32-c63a-4b45-958c-c67808834364,super great mindblowing app hai remini app so nice,5,0,3.7.304.202238710,2023-08-06 13:13:05,,,3.7.304.202238710,pho932954,com.bigwinepot.nwdn.international
dcd79603-f539-42a5-a533-12a1b6aeda99,can't updated this app,1,0,,2023-07-29 08:19:29,,,,pho942495,com.bigwinepot.nwdn.international
afab558f-5e6c-4b2f-9687-a8af0c2bd5fe,I love this app and it is super easy to use. commercials are just a way of patients. of course if you wanna go pro it's much better. But for real super easy to use.,5,3,1.06.13,2024-10-05 10:16:13,,,1.06.13,pho829487,com.yes366.etm
0d5865fa-f7d5-42ef-9c17-bdc188e2a801,this is a great app,5,0,3.12.6,2022-03-06 04:41:21,,,3.12.6,pho679306,vsin.t16_funny_photo
d687a2bc-cde0-4f3b-953d-aef20e6c3537,Hey my app suddenly stopped working please help. I am giving it a 5 star because it's amazing just rectify the error,5,1,21.6.3,2023-02-21 00:24:20,,,21.6.3,pho97254,com.picsart.studio
1ad633fd-cca6-457e-8f04-d9f177af2196,the app is amazing the only problem is too many adds,3,0,3.7.432.202297858,2023-11-22 07:10:40,,,3.7.432.202297858,pho911752,com.bigwinepot.nwdn.international
de25b855-7595-423f-a047-5985138b4b46,EASIEST TO ERASE THINGS AND PASTE BACK ETC !!! GREAT APP VERY EASY TO USE,5,0,,2022-03-18 01:34:39,,,,pho471012,photo.editor.photoeditor.photoeditorpro
4de29a67-0c74-4030-8847-6b8f5663545e,Very easy app to use,5,0,,2022-10-11 18:40:45,,,,pho490426,photo.editor.photoeditor.photoeditorpro
f1a59380-d5e7-4c02-a5c7-a40c25387a75,Terrible can't even view the photos without subscription- I can't even tell if it's worth it so it must not be,2,1,,2023-06-26 02:07:48,,,,pho869537,com.ai.polyverse.mirror
d8c3c4a8-a1f4-44f2-ac7d-9c4a52ee70fb,Why adding photos leaves the line on the picture its looks really bad dont use this app,1,0,23.8.7,2023-12-19 07:48:16,"Thanks for the feedback - we'd love to look into this for you. Can you please send us an email at support@picsart.com with the subject line ""App Store Review""? Our team will investigate and work on a fix for you.",2023-12-25 10:55:11,23.8.7,pho113859,com.picsart.studio
9790b9be-01ee-4f26-bd91-b26431f1624a,It has poor features.,1,0,3.12.73,2023-10-16 08:51:23,Hi can you tell us why you don't like the app so that we can improve it. Let us know by writing to us at support@pho.to.,2023-10-17 14:56:54,3.12.73,pho676898,vsin.t16_funny_photo
90845850-0e73-4291-8c70-a7329aecabc0,This app is wow and phenomenal!,5,0,2.3.2.202116995,2022-05-18 07:07:14,,,2.3.2.202116995,pho944134,com.bigwinepot.nwdn.international
14adb29d-e5a5-4043-b468-5670a251692e,I love this app it is so brilliant when it comes to enhancing blurry photos. Although i only have one problem it's the ads. I mean it's not that annoying for me at least but i wish you could somehow remove the ads for better experience for other users. Although the enhancing and everything is good so i give this a 5 star,5,38,2.5.0.202122083,2022-06-13 10:25:48,,,2.5.0.202122083,pho879090,com.bigwinepot.nwdn.international
9834e29e-3d31-443e-9f25-7bf0db125cb6,The app is good. but so much ads included that was irritating,3,0,2.0.7.202110813,2022-03-12 11:50:39,,,2.0.7.202110813,pho901168,com.bigwinepot.nwdn.international
04cf0845-45c8-47f8-ad2e-9361b45f8827,Love this app but it kinda clicks around the app on its own? I'm on an unlocked S22 Ultra.,3,0,19.6.1,2022-05-02 21:46:30,You can always find help and more information at https://picsart.help. If that doesn't help your issue you can reach us at support@picsart.com.,2022-05-03 04:41:53,19.6.1,pho130968,com.picsart.studio
6fb22386-585a-49fc-9bc3-56bb69947d8e,Everytime i edit some pictures the app crashes,1,0,21.2.6,2022-12-22 21:54:39,"We'd love to help but we need more information. Can you please send us an email at support@picsart.com with the subject line ""App Store Review"" so our Support team can investigate?",2022-12-23 04:56:45,21.2.6,pho119202,com.picsart.studio
98108cc9-c218-4a99-a1d2-964d3e6a24a0,This app is soo fantastic. The filters are plenty n are so nice. No ads applied.,5,0,,2022-05-30 18:13:09,,,,pho268286,com.adobe.psmobile
df8c7239-b981-453b-8bfa-924924450cbf,Worst app ever. ads on each step.,1,0,,2024-02-04 01:09:58,,,,pho1055401,com.ai.avatar.face.portrait.app
4923f19e-7a10-4d0a-85f7-72fde54111b3,Good app only used a few times but so far no issues!,5,0,1.502.162,2024-01-24 10:45:40,,,1.502.162,pho464301,photo.editor.photoeditor.photoeditorpro
8f13978f-84ba-4d4b-8bee-d9c96740c70f,This app is so helpful to enhance your old photo,4,0,,2023-06-22 02:21:27,,,,pho924543,com.bigwinepot.nwdn.international
1576dd89-1842-488f-bc17-3ea4a5d23b68,Advertisement really annoying. No close button.,1,0,20.8.5,2022-10-27 23:00:29,Hi thanks for reaching out to us! We've been receiving similar complaints from other users as well regarding ads. Please help us gather more info on this case by submitting a support request to our Help Center https://support.picsart.com Thank you!,2022-10-28 03:41:13,20.8.5,pho119715,com.picsart.studio
f4d33f75-753d-4fb4-b205-f2c1fd692ea5,Good gOod. Used for old pics. Made them look better.,5,0,10.1.26,2023-08-14 14:27:32,Hi Johnny! Thank you for your positive review! We truly appreciate your feedback and are thrilled to hear that you are enjoying our app. ^DC,2023-08-15 09:46:32,10.1.26,pho270700,com.adobe.psmobile
1d40b5bf-84c6-4c70-8406-7af21120d36e,I didn't do anything and ask me to pay weekly!!!???,1,0,,2024-05-30 10:43:25,"Dear user thank you for your feedback. The subscription is optional and lasts only three days. You can close the banner on the start via the ""Back"" native button and continue using Photo Lab for free without access to the PRO features.",2024-06-01 02:06:38,,pho670759,vsin.t16_funny_photo
5323c1b4-1efe-44bf-a244-691b98a3f5aa,now i haben bauchmuskeln really hot ohne Training. very good this app,5,1,1.395.116,2022-03-01 19:57:37,,,1.395.116,pho470405,photo.editor.photoeditor.photoeditorpro
2aed4a0b-6de8-4ad3-af2d-4b87d7caad4e,I used this app so much and I loved it it allowed me to make amazing sports edits (sportsartproduction) and everything. but now the app is kind of dead but ill post things here and there. but the knly thing i have to criticize is the fonts of most of the texts are kind of bland,5,5,24.6.4,2024-04-04 20:24:47,,,24.6.4,pho72399,com.picsart.studio
098a268c-77d5-479c-8f1a-7f148a0ef671,I love it you can make a lot of things but I dont know how to get out with out losing all my progress and it's online but good job I love this app 100000+ good,5,0,,2024-04-01 04:08:41,,,,pho99159,com.picsart.studio
83ca9821-59a4-4725-a482-7b72b93263b5,photos are not saving,1,0,3.7.708.202417454,2024-07-28 13:24:31,,,3.7.708.202417454,pho885210,com.bigwinepot.nwdn.international
a1456ead-bb36-475b-a596-1db8e2190f74,Just Fantastic.I am Using This App from at least two years and its working awesome,5,0,19.6.1,2022-05-02 00:54:48,,,19.6.1,pho115164,com.picsart.studio
7eb9acaa-656b-4560-b889-245fe669797d,Perfect for my meme Creation,5,0,1.444.145,2023-03-16 07:44:36,,,1.444.145,pho528940,photo.editor.photoeditor.photoeditorpro
2ded7ef2-b6ca-4a85-b9ab-4cab46d2b4fc,Weast app Fully ads,1,0,1.7.0,2022-02-15 03:15:14,,,1.7.0,pho933458,com.bigwinepot.nwdn.international
d424cd37-c0ef-42d2-92b5-bdf23ee2e5a3,I was not able to test it it constantly ask me for credit card,1,0,,2023-07-21 09:46:10,,,,pho921359,com.bigwinepot.nwdn.international
bf8da6b2-1cb2-41d6-8289-0c0d82ab278d,Doesn't let you watch an ad to enhance another one,3,0,2.3.2.202116995,2022-05-19 07:25:51,,,2.3.2.202116995,pho924875,com.bigwinepot.nwdn.international
1552158f-9c2f-4c18-ada2-dbb263b6f077,fantastic app I really enjoyed editing my picture,5,2,3.13.5,2024-03-29 12:12:27,,,3.13.5,pho658363,vsin.t16_funny_photo
b3b6a9f0-2ebd-48f8-8f9e-5d0369a754bb,The app is somewhat good but I feel more annoyed because of the ads. I am drawing your attention not to give ads.Please,5,0,,2023-01-09 09:37:12,,,,pho897235,com.bigwinepot.nwdn.international
e8d58312-af08-4c70-a053-cae8cf05436c,The most important app the edit people.,5,0,3.7.435.202299010,2023-11-27 12:09:49,,,3.7.435.202299010,pho925258,com.bigwinepot.nwdn.international
44202054-8857-44b8-a0a1-6a5cea0db11d,I don't want add in remini app,5,0,,2024-09-27 13:14:52,,,,pho929476,com.bigwinepot.nwdn.international
fcdee1fb-756e-48a1-96e0-a8f0c896a2f4,one of the fav. editing app n easy to use also but only one issue.images pixels are damaged after editing.plz fix it,5,7,18.7.3,2022-01-15 09:13:13,,,18.7.3,pho94564,com.picsart.studio
4e2ac9d0-24c3-40ab-b058-04076b841739,Its only for pro users! There is almost nothing for simple users,1,0,,2024-04-16 23:39:57,,,,pho911718,com.bigwinepot.nwdn.international
7a39fab4-78e5-4058-a9c8-e87e0dcfd92a,Needs online adobe account.,1,1,9.5.94,2023-07-03 08:22:59,Hi Simon the sign-in process and an Adobe ID help us deliver a better customer experience and can be helpful for troubleshooting issues that might arise. It also enables us to verify the customers age as you must be 13 years or older to register for an Adobe ID. We hope you understand and will consider using the app. We're here to help! DC,2023-07-20 10:02:17,9.5.94,pho301506,com.adobe.psmobile
